
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002222                       # Number of seconds simulated (Second)
simTicks                                   2222407500                       # Number of ticks simulated (Tick)
finalTick                                  2222407500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    162.68                       # Real time elapsed on the host (Second)
hostTickRate                                 13661044                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1628660                       # Number of bytes of host memory used (Byte)
simInsts                                     25886108                       # Number of instructions simulated (Count)
simOps                                       45113264                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   159121                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     277309                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         4361750                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.755767                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.323159                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11179864                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     424                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      10754882                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1680                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             1098098                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          2712658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                154                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            4201789                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.559596                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.497807                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  1313094     31.25%     31.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   559958     13.33%     44.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   466479     11.10%     55.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   439894     10.47%     66.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   450718     10.73%     76.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   330935      7.88%     84.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   241127      5.74%     90.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   158697      3.78%     94.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   240887      5.73%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              4201789                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  42401     40.80%     40.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     40.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     40.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 1743      1.68%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     5      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     42.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   167      0.16%     42.64% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     42.64% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                   215      0.21%     42.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     42.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     42.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     42.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     42.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                 124      0.12%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               1      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     42.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     42.97% # attempts to use FU when none available (Count)
