
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000027                       # Number of seconds simulated (Second)
simTicks                                     27395000                       # Number of ticks simulated (Tick)
finalTick                                    27395000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.66                       # Real time elapsed on the host (Second)
hostTickRate                                  7475718                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1027956                       # Number of bytes of host memory used (Byte)
simInsts                                        91216                       # Number of instructions simulated (Count)
simOps                                         164832                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    24891                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      44979                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                           49952                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              8.761972                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.114130                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                          19861                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                       2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                         17133                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                    26                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined                9561                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            17544                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                  1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples              23499                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.729095                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.662975                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    18501     78.73%     78.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                     1070      4.55%     83.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                      912      3.88%     87.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                      665      2.83%     90.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                      827      3.52%     93.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                      607      2.58%     96.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                      601      2.56%     98.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                      233      0.99%     99.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                       83      0.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total                23499                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                    156     79.19%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     79.19% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     79.19% # attempts to use FU when none available (Count)
