
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000230                       # Number of seconds simulated (Second)
simTicks                                    229775500                       # Number of ticks simulated (Tick)
finalTick                                   229775500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     64.20                       # Real time elapsed on the host (Second)
hostTickRate                                  3579300                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1447632                       # Number of bytes of host memory used (Byte)
simInsts                                      1525296                       # Number of instructions simulated (Count)
simOps                                        2791456                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    23760                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      43483                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          416100                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              4.364792                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.229106                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         267459                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                      87                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        237569                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   396                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               93080                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           182648                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             299287                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.793783                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.783133                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   233678     78.08%     78.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    12990      4.34%     82.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    10488      3.50%     85.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    11195      3.74%     89.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                     8445      2.82%     92.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     8633      2.88%     95.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     6744      2.25%     97.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     4303      1.44%     99.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2811      0.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               299287                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   2843     69.63%     69.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     69.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     69.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     69.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     69.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     69.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     69.63% # attempts to use FU when none available (Count)
