      0: system.ruby.l1_cntrl0.L1Dcache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l1_cntrl0.L1Icache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l2_cntrl0.L2cache:  HelloWorld! From a SimObject (startup).
  10000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  10000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  10000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  20000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  20000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  20000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  30000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  30000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  30000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  40000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  40000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  40000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  50000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  50000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  50000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  60000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  60000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  60000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  70000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  70000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  70000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 0.
  80000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
  80000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  80000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 1.
  90000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
  90000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
  90000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 100000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 100000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 100000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 110000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 110000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 110000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 120000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 120000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 120000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 130000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 130000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 130000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 140000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 140000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 140000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 150000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 150000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 150000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 160000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 160000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 1.
 160000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 2.
 170000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 170000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 170000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 180000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 180000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 180000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 190000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 190000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 190000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 200000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 200000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 200000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 210000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 210000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 210000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 220000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 220000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 220000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 230000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 230000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 230000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 240000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 1.
 240000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 240000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 3.
 250000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 250000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 250000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 260000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 260000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 260000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 270000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 270000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 270000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 280000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 280000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 280000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 290000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 290000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 290000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 300000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 300000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 300000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 310000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 310000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 310000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 320000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 320000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 320000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 330000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 330000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
